Entity,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,413883,490797,688594,706735,838550,1006916,1091158,1281865,1223389,941231,1670397,1893931,1531165,1637243,1915677,2124525,1984225,2386745,2155419,2234903,1757021,1979372,2095539,2520091,2822415,3501893,3134071,3114159,2857083,2764887,2602407,2426486,1381521,1333837,1282488,1231139,1165134,1084474,1029461,809568,768195,812074,1064074,1187070,941455,1320250,1643246,2268343,4198329,6760313,8452224,12226017,10742056,10000414,9789185,10107428,12257907
Albania,ALB,2022528,2279008,2462208,2081152,2015200,2172752,2550144,2678384,3070432,3242640,3740944,4349168,5638896,5287152,4341840,4590992,4946400,5715840,6488944,7580816,5166240,7335328,7302352,7624784,7818976,7873936,8049808,7437920,7320672,8976800,5510656,4283216,2513504,2333968,1923600,2084816,2015200,1542544,1751392,2982496,3019136,3220656,3748272,4290544,4162304,4250240,3894832,3924144,4371152,4374816,4594656,5235856,4906096,5059984,5712176,5947724,6272857
Algeria,DZA,6151240,6055917,5661007,5419154,5643044,6588534,8420861,8431586,9050237,11262966,15058959,18649531,28322639,38277400,31876660,32001206,39131069,41844913,62455266,45545551,66416467,46341986,39173029,52503914,70946530,72609068,76080388,83883502,83708033,79808266,76736640,78805351,79881770,81942440,86146675,94981961,96786119,87004345,106620830,91667911,87442682,83780673,89406721,91048193,87853102,106473190,100201161,108399973,109031837,120185864,117814076,119806887,128109951,132434630,143177050,150592497,150378025
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406704,406704,406704,410368,406704,425024,454336,465328,490976,512960,523952,523952,531280,534944,560592,575248,545936,538608,538608,516624,516624,490976,487312,476320,461664,477238,511506
Angola,AGO,548946,453711,1179124,1149723,1222914,1186155,1552466,991814,1669535,2783094,3577915,3405380,4500530,4873663,4866395,4408811,3280042,3527510,5399808,5489191,5334356,5266774,4635170,5100534,4985860,4676114,4633839,5786028,5049305,4922809,5088684,5062876,5165043,5748383,3865595,10948303,10424825,7347849,7269605,9129777,9515060,9671518,12597545,8988367,18701931,19006429,22102407,24976104,25486004,27565503,28864472,30142144,33185815,32373114,34457641,34761128,35351002
Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51296,51296,54960,65952,65952,65952,69616,69616,76944,80608,87936,95264,95264,102592,120912,128240,142896,150224,150224,146560,150224,142896,142896,135568,142896,149176,152072
Antigua and Barbuda,ATG,36640,47632,102592,84272,91600,150224,348080,564256,989280,1256752,461664,425024,373728,329760,428688,707152,403040,465328,490976,406704,142896,106256,293120,84272,146560,249152,249152,274800,285792,285792,282128,267472,263808,271136,267472,274800,293120,307776,318768,329760,344416,348080,370064,403040,421360,428688,443344,468992,479984,509296,523952,512960,523952,523952,531280,554631,565396
Argentina,ARG,48764499,51126710,53640125,50032660,55670040,58804849,63072666,65475983,69009217,77248869,82648001,88844309,90061084,93967978,95469386,94831553,99665695,100650884,102476823,110510913,108519999,101819689,103206566,104978862,106282990,100366195,103933940,114611063,121129121,116802018,111890017,116845003,121016713,117564672,122010040,127598460,134643650,137558052,139354451,146510308,141716804,133310609,124382213,134620660,157033639,161424779,174617506,174232910,188041184,178867384,186686451,190247901,191044680,188428149,202671490,206367967,207064059
Armenia,ARM,2493576,2571441,2698740,2894214,3077980,3265051,3447964,3605305,3706561,3860149,4060089,4314421,4545495,4744111,4931953,5191840,5394775,5581598,5775513,5825089,6056833,5949389,6064739,6158341,6219738,6708309,6734097,7020947,7218121,7074953,6642549,6440640,5719931,2508264,2683496,3360091,2497343,3246443,3411071,3033700,3491410,3532700,3076608,3455562,3691194,4379830,4405250,5107762,5582114,4362330,4260176,4968876,5748252,5549428,5581436,5791730,5960812
Aruba,ABW,618560,645552,708942,679087,660275,592387,553944,682359,634510,830405,928761,808320,783783,869461,788077,570711,1219127,636759,542288,568871,585434,557624,623468,320424,800141,936531,179536,447008,611888,648528,1637808,1681776,1461936,1593840,1612160,1667120,1689104,1744064,1795360,1806352,2377936,2407248,2436560,2561136,2616096,2718688,2715024,2821280,2656400,2627088,2506176,2498848,1348352,861040,872032,910361,928030
Australia,AUS,88118899,90503896,94823455,100934264,108875766,120852668,120219302,129144211,134496899,142123802,147479768,152629536,157335545,170827394,172189386,175713926,174074696,187604866,201820178,204869575,220531000,230132643,233888646,224785013,236361192,240987972,239722218,255850224,260878795,277485607,278424375,279872363,284912124,289234856,294014610,305409799,312361210,320794696,334684106,344063336,350194581,357668742,362209093,369725835,383204944,386515211,392681873,400415729,405048537,408672631,406752772,404246571,407146057,398163798,393464239,402995453,413369923
Austria,AUT,30784479,31824045,33864982,36949059,38896435,38140552,39208597,39915571,42297141,44638408,50631701,52069169,56071341,60015780,57294511,54214066,58204280,55994225,57227135,61322009,52025653,55833681,53566102,51669101,54214958,54367246,53729521,57374955,52938383,53697486,62292228,65899677,60431459,60787739,61190346,64205950,67673887,67453011,67054364,65621004,66261743,70390857,72146538,77764249,78052545,79366679,76688464,74032117,73806271,67483059,72383144,70115670,67661399,68001230,64253326,66703987,67402082
Azerbaijan,AZE,24075606,24828176,26058100,27945598,29720143,31527243,33294285,34814003,35792041,37275120,39206192,41613670,43792020,45651011,47399431,49834007,51751491,53510853,55346690,55803009,57998230,56900165,57975888,58804953,59332520,63989368,64160540,66861913,68697236,67254431,63052952,60800253,56175802,48408341,41946559,33311115,31241610,29803859,31665041,28570228,29506320,28792679,29641849,30626721,32078155,34286420,39108540,30458270,35450600,31856630,30632888,33396618,35496946,35579960,37414423,40241429,39688284
Bahamas,BHS,410368,545936,725472,707152,1084544,1315376,1091872,1700996,1627716,1740765,2568770,6723746,6481298,7862744,7379750,8246118,6457396,9708688,6597044,6915652,7972124,2798439,2258485,2014373,1853984,1509568,1410640,1421632,1538880,1945584,1949248,1780704,1791696,1700096,1685440,1681776,1667120,1363008,1678112,1674448,1667120,1568192,1575520,1516896,1722080,1740400,1663456,1689104,1494912,1641472,1652464,1864976,1967568,2799296,2414576,2516529,2565305
Bahrain,BHR,575248,1769712,1590176,1194464,1597504,1227440,648528,1003936,1102864,1271408,2590448,3037456,3678656,5517984,5400736,5748816,6569552,7463568,7760352,8126752,7881264,8518800,9830512,8222016,9200304,10185920,11002992,11420688,12142562,11716745,12405381,11855329,10873843,14609781,14755641,14787087,15589624,17287730,18365542,17988113,18617914,13905337,15677178,16437202,17439106,19132508,18756920,26770051,29682446,28097529,29074829,28438830,26448224,31083889,31088952,32846928,34265093
Bangladesh,BGD,2211905,2290409,2516755,2893241,2974611,3121305,3176312,3371140,3865663,3749327,3803196,3606066,3506358,4550569,4656587,4865108,5564097,5802615,6005382,6634031,7620953,7911830,8577660,8213791,9100756,10211194,11433743,11830335,13510323,13416309,15489962,15902559,17708789,17367915,18927975,22771386,23949642,24948031,23911114,25017429,27504891,31943866,33185370,35140640,37161862,38915897,42955696,43766440,48307613,52292608,58281848,61597468,65602526,67706514,71145678,83500786,85253607
Barbados,BRB,172208,194192,260144,190528,179536,205184,267472,337088,439680,479984,428688,483648,501968,479984,490976,567920,531280,589904,630208,600896,674176,685168,644864,685168,741332,836277,906074,930495,934586,975947,1060309,1192105,966324,1109835,741884,822958,842329,888898,1121214,1191216,1168034,1201291,1203804,1241370,1266009,1322333,1339292,1334369,1589006,1589309,1452631,1504161,1449892,1429527,1253510,1300876,1324668
Belarus,BLR,37419151,38588550,40499845,43433397,46191359,48999697,51745747,54107541,55627500,57932494,60933609,64662961,68034992,70908803,73608857,77372741,80328082,83036346,85866352,86557943,89944263,88214222,89873163,91132913,91928144,99144368,99377454,103547683,106371545,104102929,104134684,97040059,89990445,77615578,64372957,57947489,59202274,62545835,59407818,56991207,55458034,55560330,55677156,57112286,60767191,62049394,64861610,64263922,66390058,61937832,63862389,62772746,63674757,64423697,63779985,58965752,60509202
Belgium,BEL,90908083,92698293,98018302,105676389,103553991,105330794,105096743,107361006,118437575,123491756,125490458,121370584,130637838,138639391,134950443,121823420,129678113,126199942,135450969,139787307,134836656,123574465,117102787,101202693,104967454,104005442,102367798,102589835,99744128,106793567,120484399,123544709,122657810,121557284,124938189,126082964,129583624,124046824,130285112,124745701,126794789,126129005,126444626,127953184,129040882,125638201,124030888,120611401,120659010,107642367,113582031,104158641,101394975,101970442,96391041,100229489,100243709
Belize,BLZ,43968,36640,69616,62288,84272,84272,80608,120912,102592,135568,120912,142896,157552,146560,153888,175872,175872,197856,216176,208848,190528,183200,172208,172208,172208,190528,205184,227168,249152,300448,311440,359072,355408,377392,373728,377392,307776,388384,370064,348080,395712,447008,432352,432352,392048,421360,443344,476320,436016,586240,538608,600896,476320,512960,494640,522260,547433
Benin,BEN,161216,128240,135568,120912,142896,150224,113584,142896,153888,201520,282128,293120,388384,381056,406704,443344,260144,296784,362736,366400,507458,417645,477340,439650,485599,725740,665432,517189,538050,609654,680683,792129,864943,1086683,1222254,1273558,1231100,1198151,1194364,1542320,1573997,1789772,2053179,2327578,2481066,2367081,3711342,4319630,4254813,4507933,4938944,5121284,5305521,5652638,6158234,6350336,6747918
Bermuda,BMU,157552,175872,157552,150224,201520,179536,201520,212512,223504,197856,227168,230832,252816,425024,443344,458000,468992,454336,425024,461664,436016,388384,395712,450672,443344,450672,421360,571584,644864,780432,501968,538608,461664,538608,531280,531280,527616,523952,520288,512960,516624,527616,556928,560592,582576,582576,652192,729136,648528,476320,608224,443344,476320,458000,575248,600532,612188
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,3664,3664,3664,3664,3664,3664,3664,7328,10992,21984,21984,25648,32976,29312,51296,62288,54960,102592,109920,62288,128240,176118,205377,173027,201608,236141,285310,376838,367162,370760,381687,369013,401709,361126,290479,378123,373005,372026,400823,367800,464157,667463,753807,853144,919603,987956,1114581
Bolivia,BOL,1003787,1040397,1098991,1212546,1479988,1509330,1688836,1890386,2176118,2546153,2483716,3058934,3568141,3454468,3512943,4054978,4574827,4474857,5020144,4730080,4658969,4781037,4337860,4278137,4029348,4109757,3763680,4011801,4286777,4968446,5726770,5974016,6621986,7791825,8592436,9798968,9774539,10883062,10923850,10376044,11004693,8560603,10328100,11011167,11018326,12070483,14920842,12176849,13040638,13746585,14941383,15851237,18485711,18571625,20029798,20001925,20562262
Bonaire Sint Eustatius and Saba,BES,465477,485789,533491,511025,496868,445781,416852,513487,477480,624894,698909,608275,589810,654285,593041,429470,917414,479172,408081,428085,440549,419622,469170,241125,602120,704756,135104,120110,118317,225227,241198,192470,158572,244784,234680,232235,217242,227346,12548,94035,249510,254073,244947,245110,257170,254888,265644,299054,287646,294327,202737,258636,0,0,0,336604,343137
Bosnia and Herzegovina,BIH,5261859,5515383,5659757,6296268,7133403,7339516,7272815,7346106,7856947,8146264,10645562,11472749,10752182,12843901,12899275,13458773,13890217,13506571,15092812,16415802,16140627,17565320,16135278,17375005,18323443,18691083,19519919,19396345,20074064,20029623,20014105,14151460,15027560,12579437,3204386,3402787,4238460,8365275,10551294,10333947,13701293,13263777,14172601,14350196,15462454,16045983,17386718,17474331,19958648,20537094,21145640,23761289,22136196,21801049,22117606,24764166,26001698
Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,21984,51296,87936,186864,593568,780432,831728,941648,985616,1007600,1099200,1029584,1044240,1157824,1066224,1238432,1300720,1428960,2700368,2634416,2777312,3195008,3030128,3044784,2755328,2799296,3341568,3158368,3777584,3847200,3975440,3825216,3894832,4092688,4132992,4228256,4503056,3759264,4653585,4138367,4185619,5184760,6986805,7102967,7098396
Brazil,BRA,46851820,49144504,53631448,55550938,56666675,56329617,64211635,66079408,77271373,84132709,93530494,102357941,114014328,132019609,142927313,150513658,154398074,162078338,175931478,187155058,185758330,170467910,170789345,165426960,167605588,179936803,197226217,205788741,207562967,212113643,206921120,217227472,218383504,228333216,239470720,255583376,281194784,296585256,308305720,316282440,324226040,332987400,327434832,317508448,333675144,342086472,341946368,356918752,380344928,360090776,411240192,430194902,460063092,493593511,519526349,512081882,473741376
British Virgin Islands,VGB,0,0,3664,3664,7328,7328,10992,3664,14656,18320,18320,21984,21984,25648,25648,25648,25648,29312,29312,29312,29312,43968,36640,40304,40304,47632,54960,62288,65952,65952,65952,65952,69616,73280,80608,84272,95264,98928,102592,102592,102592,106256,113584,120912,124576,131904,142896,150224,161216,164880,172208,175872,175872,175872,179536,187427,191065
Brunei,BRN,333424,304112,370064,355408,340752,333424,490976,439680,428688,487312,8203696,7511200,9453120,9973408,8178048,7075184,6019952,6390016,9533728,7434256,6877328,1469264,2092144,2704032,1916272,2594112,2297328,3315920,5712176,6342384,6188496,5305472,5210208,4964720,4689920,4785184,4741216,4931744,5158912,3803232,4590992,4389472,4253904,4470080,4873120,4869456,4737552,8309952,8991456,7745696,8060800,9544720,9493424,7628448,8925504,10355325,9964735
Bulgaria,BGR,22270701,25945039,30704011,34374061,42818065,46269137,48716006,55107665,59463507,66307711,61173971,64219683,66075143,68711214,71128234,72911664,72952174,75780104,81187203,78904406,77224680,80057897,89811672,90025843,87006268,89182985,91128250,91228052,86865200,86437206,78672941,60058049,56839995,57483412,55936140,57536986,57952542,55181619,52526259,46096271,45213926,48923315,46166363,50414461,49508639,50591294,51825570,55637034,53972792,45707145,47792803,53116467,48269491,42586002,45142469,48132691,45287386
Burkina Faso,BFA,43968,91600,84272,87936,109920,102592,102592,102592,102592,120912,142896,150224,161216,168544,205184,219840,208848,249152,348080,406704,432352,556928,575248,593568,465328,476320,479984,516624,553264,820736,582576,626544,630208,626544,644864,623870,704459,802691,857628,914172,1030896,991685,1001076,1074309,1099909,1121846,1356233,1641867,1862771,1866828,1893940,2141238,2550341,2992411,2802106,2781255,2969811
Burundi,BDI,36430,47736,43968,47632,47632,36640,47632,47632,54960,73280,62288,73280,73280,73280,91600,76944,87936,98928,102592,109920,146560,157552,157552,205184,219840,230832,234496,249152,227168,267472,208848,238160,216176,227168,234496,238160,241824,249152,249152,252816,271136,205184,212512,161216,197856,153888,186864,186864,190528,190528,212512,237564,273600,278226,431530,476657,508147
Cambodia,KHM,234496,285792,307776,388384,340722,402831,468754,417458,490738,1344450,1172331,248914,117039,127913,73071,73071,72773,72475,51138,29312,285792,300448,337088,366400,410368,417696,432352,436016,450672,450672,1260416,1304384,1348352,1384992,1467051,1540285,1597246,1525052,1935354,1894288,1974896,2249696,2205728,2377936,2443888,2773648,2997152,3452469,3804986,4540697,4916927,5094280,5333521,5475786,6516419,6976524,7481962
Cameroon,CMR,271136,282128,289456,300448,337088,311440,344416,458000,505632,571584,637417,809179,860356,896907,973762,1160537,1088970,1559048,1993205,1815341,3885944,5319123,6315887,6554479,6052928,6470624,1993216,1842992,2153886,7577668,1678198,1056703,3729914,3839449,3771070,4174456,4431492,3156406,3137096,2998091,3345847,3324991,3324049,3698490,3850062,3591269,3752445,5701937,5426279,6594907,6662026,5630572,5975020,6615013,6853996,7217410,7586133
Canada,CAN,192716174,194000693,206990771,210910775,237577733,251916994,259074370,281637036,303261340,307119205,341177214,352285083,380786581,381264658,389605214,396772741,398945980,407771418,415505384,441646909,442817270,429598251,414426417,408309666,425199344,421675597,404660121,430921725,455608027,462817718,463879790,454627504,468864767,467879575,483058456,495664515,510556786,525253071,534236497,550043150,572530740,564635320,570885097,587596290,585832799,576801628,570487642,594140241,574805870,540518686,555459693,560775900,563675200,568892395,568008388,565576677,558188999
