Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405463417,487602457,596423607,695304363,764887117,872138715,958463184,1082979720,1245688268,1320474860,1379960893,1531944134,1665100558,1722798882,1873452513,1920111731,1941340782,2021229050,2228491620,2330726256,2424581005,2615083798,2745251396,2498882681,2390502793,2549720670,2534636871,2701675977,2765363128,2919553072,2965921787,3056424581,0,0,0
Afghanistan,AFG,537777811,548888895,546666677,751111191,800000044,1006666637,1399999966,1673333417,1373333366,1408888922,1748886595,1831108971,1595555475,1733333264,2155555497,2366666615,2555555566,2953333417,3300000108,3697940409,3641723321,3478787909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055179566,4515558808,5226778808,6209137624,6971285594,9747879531,10109225813,12439087076,15856574731,17804292964,20001598505,20561069558,20484885119,19907111418,18017749073,18869945677,18353881129,19291104007,0
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5930503400,5550483035,5550483035,5784341596,6131475065,7553560459,7072063345,8083872012,8769250549,10201099039,11228764963,10603784541,8307810973,5768720421,4438321017,5538749259,7526446605,7648377412,6506229607,6152922942,9129594818,8936063723,15285594828,17812705294,23552052407,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,111789686464,128052853643,136709862831,145712200312,116193649124,101123851090,122123822333,101353230784,88815697793,0
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857338011,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027,652174990,1185315468,1880951520,2392764853,3199642579,2258515610,2545967253,3212119044,3480355188,3922099470,4348070165,5611492282,7184681398,8052075642,8896073938,10677321490,12881354103,12044223352,11926928505,12890765324,12319830252,12776217194,13228144008,11386846319,11861200797,13019693450,15147020535,15279183289,0
Andorra,AND,0,0,0,0,0,0,0,0,0,0,78619206,89409820,113408231,150820102,186558696,220127246,227281024,254020153,308008897,411578334,446416105,388958731,375895956,327861832,330070689,346737964,482000594,611316399,721425939,795449332,1029048481,1106928582,1210013651,1007025755,1017549124,1178738991,1223945356,1180597272,1211932397,1239876305,1429049198,1546926174,1755910031,2361726862,2894921777,3159905484,3456442102,3952600602,4085630584,3674409558,3449966856,3629203786,3188808942,3193704343,3271808157,2789870187,2896679211,3000180750,3218316013,3154057987,0
Arab World,ARB,0,0,0,0,0,0,0,0,25891606124,28429146975,32013340941,37045140366,44182128971,55922081751,105711125366,117103149355,145484738304,167530174445,183969539762,248970610830,337548607895,348013579325,326467614158,306718525880,311102902529,307935286171,294002304210,313464339247,308329777739,323313155352,447403057842,441363731387,472395612979,477750218753,488310840410,524626754650,579109082402,614123231689,592264356627,644527010683,735685319268,722917010350,726832740066,821089931822,965100949397,1186135399898,1406002045914,1639307043044,2080969850135,1795740921393,2103331412247,2494028778449,2773499064014,2856372458851,2894391168409,2534723688142,2469440154484,2516121177762,2771384097904,2817414584665,0
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14720672506,19213022691,24871775164,23775831783,31225463217,43598748449,49333424135,46622718605,42803323345,41807954235,40603650231,33943612094,36384908744,36275674203,41464995913,50701443748,51552165622,54239171887,55625170253,59305093979,65743666575,73571233996,78839008444,75674336283,84445473110,104337372362,103311640571,109816201497,124346358066,147824370319,180617467964,222116541865,257916133424,315474615738,253547358747,289787338325,350666031313,374590605854,390107556160,403137100068,358135057862,357045064669,385605506854,422215043584,421142267937,0
Argentina,ARG,0,0,24450604877,18272123664,25605249381,28344705966,28630474727,24256667553,26436857247,31256284543,31584210365,33293199095,34733000536,52544000116,72436777342,52438647921,51169499890,56781000100,58082870156,69252328953,76961923741,78676842366,84307486836,103979106777,79092001998,88416668900,110934442762,111106191358,126206817196,76636898036,141352368714,189719984268,228788617201,236741715015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251,127586973492,164657930452,198737095012,232557260817,287530508430,361558037110,332976484577,423627422092,530163281574,545982375701,552025140252,526319673731,594749285413,557531376217,643628665302,517626700412,445445177459,0
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256838858,2068526521,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061008,3576615240,4900469950,6384451606,9206301700,11662040713,8647936747,9260284937,10142111334,10619320048,11121465767,11609512939,10553337672,10546135160,11527458565,12457941907,13672802157,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77496753,87879341,109079978,131431026,147841734,164369278,182144092,208372846,240923924,290440140,337174861,398637727,438794788,459470370,481707407,499281481,535174074,589429629,577281481,633729629,680618518,727859259,766200000,826370370,800481481,814381481,856396296,919729629,1022962962,1157662962,1312759259,1370070370,1228329629,1148700000,1137637037,1199948148,1181448148,1249733333,1336692592,1436585185,1467977777,1605351851,1661962962,0
Australia,AUS,18577668271,19652816664,19892485160,21507447642,23764139321,25936835031,27268451114,30397580916,32665472057,36628961809,41271138985,45149512823,51967289719,63737347853,88831245394,97171924074,104921215177,110201881165,118338596886,134712029989,149776044568,176642284918,193770274743,177030416471,193242166274,180235483623,182036933407,189061672842,235658469150,299272046250,310781069642,325315909269,324884257479,311549325463,322213766862,367216364716,400302731411,434568007512,398899138574,388608221581,415222633925,378376086723,394648911678,466488060570,612490396927,693407758231,746054207846,853099630996,1053995523724,927805183330,1146138465603,1396649906339,1546151783872,1576184467015,1467483705131,1351693984524,1208846993739,1329188475752,1432881172002,1396567014733,0
Austria,AUT,6592693841,7311749633,7756110210,8374175257,9169983885,9994070615,10887682273,11579431668,12440625312,13582798556,15373005557,17858486066,22059612476,29515467706,35189299911,40059206763,42959976221,51545758887,62052259073,73937296963,82058912997,71034228443,71275287569,72121016546,67985344886,69386774408,99036164939,124168442533,133339397080,133105805512,166463386179,173794177961,195078126721,190379720809,203535242741,241038283062,237250948791,212790348404,218259904401,217185787342,196799778883,197337879194,213377771503,261695778781,300904221504,315974418604,335998557270,388691445387,430294287388,400172297860,391892746544,431120310088,409425234155,430068712971,441996131736,381817565893,395568644341,417237869115,455094861902,445075391688,0
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8858006035,8792365810,4991350457,3970953395,3313939553,3052467522,3176703092,3962735257,4446370371,4581246713,5272617196,5707720390,6235856819,7276013031,8680370408,13245716099,20982986344,33050343782,48852482960,44291490420,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48047647058,0
Burundi,BDI,195999990,202999992,213500006,232749998,260750008,158994962,165444571,178297142,183200000,190205714,242732571,252842285,246804571,304339839,345263492,420986666,448412753,547535555,610225555,782496666,919726666,969046666,1013222222,1082926304,987143931,1149979285,1201725497,1131466494,1082403219,1113924130,1132101252,1167398478,1083037670,938632612,925030590,1000428393,869033856,972896267,893770806,808077223,870486065,876794723,825394490,784654423,915257323,1117113045,1273375020,1356199364,1611835901,1781455092,2032135246,2235820867,2333308099,2451625332,2705783272,3104394858,2959640987,3172292379,3036931818,3012334881,0
Belgium,BEL,11658722590,12400145221,13264015675,14260017387,15960106680,17371457607,18651883472,19992040788,21376353113,23710735894,26706196046,29821661869,37209418018,47743801490,56033077879,65678189097,71113882967,82839905458,101246526194,116315456796,126829314388,104730018470,92095926187,87184239053,83349530159,86268264148,120018787249,149394404105,162299103675,164221056511,205331747947,210510999409,234781652446,224721795708,244884129491,288025588396,279201433224,252708051420,258528339631,258158533986,236204532891,236541297539,257157820440,317381715575,368537000248,385570948886,407918078032,470324254037,515223524241,481345929424,480951629493,522645519183,496181260258,521642714407,534678075827,462149679343,475739588764,502698069366,543734366831,533097455834,0
