Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,0.0,2.23814,1.40962,0.83245,0.59265,0.57347,0.61699,0.58737,0.56853,0.58064,0.57221,0.63627,0.67069,0.6712,0.47197,0.2129,-0.11712,-0.36378,-0.43663,-0.20486,0.19321,0.78069,1.27635,1.38574,1.01571,0.30192,-0.60794,-1.30307,-1.22691,-0.07698,1.81364,3.90202,5.44027,6.06841,5.626,4.61667,3.51789,2.66958,2.11439,1.96056,2.05503,2.22593,2.22906,2.10935,1.75735,1.30204,0.79955,0.38405,0.13427,0.09565,0.21071,0.37013,0.50243,0.58235,0.5944,0.54489,0.50762
Afghanistan,AFG,0.0,1.89848,1.96575,2.02989,2.09025,2.14757,2.17101,2.18811,2.25457,2.38472,2.5366,2.66519,2.71452,2.65912,2.47944,2.20078,1.98142,1.74784,1.28162,0.52226,-0.40755,-1.39354,-2.21966,-2.71295,-2.69548,-2.20437,-1.70677,-1.12804,0.11602,2.13635,4.4769,6.90016,8.54612,8.79089,7.65978,5.88426,4.01947,2.63654,1.94732,2.17044,2.97505,3.90281,4.49672,4.66836,4.32154,3.68273,2.99048,2.49384,2.26828,2.39702,2.74658,3.14313,3.40759,3.49459,3.35558,3.07708,2.77832
Angola,AGO,0.0,1.39336,1.38363,1.25655,0.97396,0.61754,0.18428,-0.12065,-0.04488,0.54604,1.48992,2.52147,3.38171,3.89849,3.98923,3.81058,3.57306,3.43275,3.35407,3.37421,3.45441,3.52364,3.55289,3.56733,3.56424,3.54788,3.5317,3.5144,3.4824,3.43443,3.37848,3.32446,3.28031,3.24664,3.22614,3.21686,3.21423,3.21732,3.22894,3.24925,3.2772,3.3012,3.32926,3.37881,3.45301,3.53756,3.61957,3.68064,3.71053,3.70388,3.67146,3.63416,3.59777,3.55195,3.49749,3.43885,3.37827
Albania,ALB,0.0,3.12086,3.05673,2.95375,2.88069,2.75402,2.63456,2.63019,2.84251,2.89608,2.55085,2.42297,2.49497,2.36255,2.29721,2.30115,2.20824,2.21325,2.07574,1.98946,2.04796,2.00297,2.11327,2.12089,2.10394,2.05599,1.93322,1.99704,1.88671,2.68786,1.79909,-0.60281,-0.60643,-0.61017,-0.61388,-0.6177,-0.62151,-0.62543,-0.62933,-0.63335,-0.63736,-0.93847,-0.29988,-0.37415,-0.41793,-0.51179,-0.63091,-0.75572,-0.76734,-0.67389,-0.49646,-0.26902,-0.16515,-0.18321,-0.20705,-0.29121,-0.15988
Arab World,ARB,0.0,2.74058,2.75529,2.77367,2.79762,2.82368,2.85822,2.88782,2.89261,2.86705,2.8272,2.77462,2.74358,2.77029,2.86843,3.00723,3.15096,3.25961,3.31806,3.31409,3.26735,3.21018,3.16018,3.10988,3.06323,3.01826,2.96781,2.91217,2.85827,2.80736,3.67835,2.72994,1.847,2.69875,2.59407,3.11994,2.32852,2.24757,2.17263,2.15024,2.15284,2.15624,2.161,2.18847,2.24134,2.30718,2.37707,2.43073,2.45397,2.43303,2.38319,2.32992,2.28133,2.22434,2.1601,2.09342,2.01909
United Arab Emirates,ARE,0.0,8.67769,10.64532,10.98013,9.81831,8.21453,6.53423,5.94267,7.29954,10.62822,14.37873,16.82011,17.63234,17.58936,16.93611,15.95299,15.13916,14.21224,12.77015,10.90235,9.0013,7.29025,6.03309,5.3206,5.19552,5.4291,5.70571,5.85123,5.92022,5.88434,5.7837,5.77606,5.80297,5.69236,5.42922,5.12717,5.00834,5.07685,5.17391,5.28981,5.51042,5.24161,5.19347,6.48717,9.17391,12.02017,14.42464,15.17708,13.91025,11.04464,7.68705,4.53635,2.15416,0.61413,0.17668,0.52741,1.05328
Argentina,ARG,0.0,1.62471,1.60015,1.57529,1.54927,1.52433,1.49771,1.47758,1.47576,1.4966,1.53152,1.5746,1.60949,1.62267,1.60666,1.57217,1.53044,1.49916,1.48786,1.50369,1.537,1.57196,1.59642,1.61053,1.61038,1.59856,1.58481,1.56895,1.54182,1.50177,1.45298,1.40144,1.35218,1.30606,1.26532,1.22923,1.19361,1.15949,1.13226,1.11336,1.10058,1.09208,1.08355,1.07199,1.05539,1.03628,1.01544,0.99886,0.99259,0.99954,0.75221,1.15306,1.13691,1.11911,1.09946,1.078,1.05718
Armenia,ARM,0.0,3.5317,3.44421,3.33039,3.19372,3.04492,2.88453,2.73433,2.61671,2.5406,2.49171,2.45045,2.39705,2.32331,2.22233,2.10517,1.98597,1.87885,1.78516,1.70985,1.64733,1.54751,1.43788,1.39629,1.44094,1.52055,1.6743,1.74409,1.51548,0.9037,0.04797,-0.93458,-1.79741,-2.34245,-2.39048,-2.04034,-1.53872,-1.11508,-0.7819,-0.63459,-0.63102,-0.61775,-0.54922,-0.53028,-0.57196,-0.65032,-0.77319,-0.87216,-0.85614,-0.67381,-0.37371,-0.02715,0.26701,0.46197,0.51012,0.4505,0.36143
Antigua and Barbuda,ATG,0.0,1.59443,1.5157,1.53011,1.64246,1.81715,2.05212,2.189,2.06856,1.63245,0.98179,0.28008,-0.34867,-0.75597,-0.83616,-0.7075,-0.49264,-0.33407,-0.19808,-0.1355,-0.14053,-0.10512,-0.03399,0.01295,-0.00162,0.0,-0.05181,-0.05993,0.08746,0.38294,0.8351,1.33288,1.72723,2.00547,2.14625,2.15797,2.16512,2.15829,2.09767,1.96087,1.78119,1.5611,1.39289,1.27544,1.29797,1.39556,1.50945,1.58583,1.61847,1.56733,1.46706,1.38201,1.28688,1.217,1.13649,1.07884,1.02184
Australia,AUS,0.0,1.98974,2.44064,1.91782,1.96235,1.95972,2.28318,1.26228,1.76416,2.09302,1.97019,3.38029,1.83815,1.52882,2.53122,1.23119,1.00266,1.12667,1.16289,1.08064,1.21894,1.58685,1.66754,1.25055,1.13222,1.36735,1.63899,1.52099,1.63621,1.69257,1.47998,1.27458,1.21339,0.97834,1.05851,1.20802,1.31382,1.11873,1.04224,1.14251,1.19227,1.34836,1.22056,1.234,1.15935,1.31979,1.47523,0.62468,2.00402,2.06105,1.55549,1.38953,1.74582,1.72115,1.49157,1.43922,1.56194
